Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
d16cb075-ff2b-4be9-b4c0-df495a9c1993,"2020-05-29, 12:52:29 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,172.98.86.80
fa2a7fac-dca6-4e32-abb8-85b366e977da,"2020-05-29, 12:52:29 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,172.98.86.80
5684e900-1705-42a9-9ce6-7fd3681639f6,"2020-05-29, 12:52:28 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA5AQPMWM4KSAMUVF35""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::894459228984:user/Accountant""}]",,us-east-1,,172.98.86.80
e8165490-af44-45b8-b915-dd285a4f2b4d,"2020-05-29, 12:52:28 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA5AQPMWM4OWBNT7YD5""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::894459228984:user/CloudTrail""}]",,us-east-1,,172.98.86.80
3f657036-e4b6-46e7-87d7-e04c8765c14c,"2020-05-29, 12:49:55 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA5AQPMWM4MH64JDDNQ""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::894459228984:group/Reviewers""}]",,us-east-1,,172.98.86.80
83d25f8f-1183-48a8-9c12-cd16fcef4b66,"2020-05-29, 12:49:55 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,172.98.86.80
6bd2d362-6812-4793-a01c-9878781da060,"2020-05-29, 12:49:24 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA5AQPMWM4JCQ32VDIH""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::894459228984:group/CloudTrailAdmins""}]",,us-east-1,,172.98.86.80
9e68c22a-1b08-4a3e-8c35-c86984daf42a,"2020-05-29, 12:49:24 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,172.98.86.80
dfc09e40-bf4f-4ad1-aaad-5cb536f194d3,"2020-05-29, 12:49:24 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,172.98.86.80
84bfe546-c420-47a5-a4c0-82c2b4e8bd42,"2020-05-29, 12:47:25 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,172.98.86.80
bd40a6fc-e9e7-45ec-903c-d2680650bb62,"2020-05-29, 12:44:55 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""terraform-user""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""}]",,us-east-1,,172.98.86.80
