Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,1301,15612.00,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (c5.large)"
My Estimate,US East (N. Virginia),Amazon Route 53,0,1900,22800.00,USD,"Hosted Zones (10), Basic Checks Within AWS (1000)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,965.7,11588.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1427.26,17127.12,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5 TB), Instance type (db.m5.large)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,850.45,10205.40,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),S3 Standard,0,1178.32,14139.84,USD,S3 Standard storage (50 TB per month)
My Estimate,US East (N. Virginia),S3 Intelligent - Tiering,0,1.15,13.80,USD,S3 INT storage (50 GB per month)
My Estimate,US East (N. Virginia),S3 Storage Management,0,0,0.00,USD,
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,Data Transfer
My Estimate,US East (N. Virginia),Amazon CloudWatch,0,816.608,9799.30,USD,



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
